,Rotated_X,Rotated_Y
0,2069.3084037976146,726.6524134499027
1,2196.9681324854355,725.6555827963136
2,2487.754106193874,723.3066480515153
3,2650.8803512144914,721.9545439603062
4,2931.0362350782143,719.5711143858726
5,3014.0101261977366,718.9937128915003
6,3214.669715189354,718.1396954941263
7,3432.4558285939956,715.6479474931131
8,3754.476012807591,712.6477876569978
9,4079.973793268603,710.5996385035703
10,4286.375107248306,708.7294547019119
11,4459.3767325334165,708.067904469329
12,4702.65533145513,705.9410977812829
13,4877.166375900686,703.9674294907185
14,5140.294385902617,701.8109619107113
15,5420.548920317572,698.0167637270644
16,5615.008026394578,694.602665935325
17,5632.691959285361,695.130413521122
18,5810.024540949343,693.354046333022
19,6111.539255053729,689.6288378086459
20,6271.84396285592,688.0794326149726
21,6413.710028187106,686.6583388644926
22,6591.797319431312,684.2259126474025
23,6823.691118928086,682.7206701587116
24,7094.627681556307,680.4013963058749
25,7386.923074425191,676.7403435030955
26,7548.737201387828,673.8788202514407
27,7746.673903712251,671.416733142389
28,7944.151848110148,665.3783992346877
29,8245.997008697866,646.7907950379567
30,8611.804850377404,514.3007087455902
31,8759.85623954426,404.1517815344553
32,8857.93882408126,299.0146966854714
33,9038.166109294694,42.96953335564936
34,9142.759630213022,-155.27827970141084
35,9172.173310825097,-261.6729947621268
36,9166.465423400728,-474.0133348323803
37,9095.462743809945,-654.7690248975302
38,9035.075652250856,-744.0517173582435
39,8874.893764688268,-896.3105853984528
40,8808.232366617623,-936.4136776391655
41,8639.374064484267,-995.0044089935399
42,8546.65793848112,-1007.1584198117226
43,8504.89228868248,-1007.9524581592544
44,8395.375250811967,-1002.8516331212193
45,8152.649226430339,-968.0798473188037
46,7989.616798023279,-937.6590109118739
47,7797.579793022097,-897.9250366558831
48,7623.522672565393,-861.8956206417355
49,7509.344231832676,-840.8175829758283
50,7406.091832598372,-823.9373563079256
51,7125.571007421681,-796.0614412164209
52,6988.593306947126,-793.5896862320216
53,6796.827426645352,-808.4169298088229
54,6675.373014809817,-835.3395196858024
55,6424.107897910044,-952.1463732062364
56,6260.675376094464,-1088.3293780673412
57,6105.120396564443,-1245.9353688907067
58,5941.850681021691,-1374.3098211255226
59,5707.904555699734,-1465.0964415430883
60,5591.501314993658,-1483.1598175598592
61,5364.821492899172,-1464.9868085846706
62,5352.583333342778,-1462.2984167471118
63,5157.981414009557,-1385.8844586515756
64,5003.374268490468,-1313.762128167603
65,4861.202583630238,-1247.1497267396155
66,4849.423182000371,-1240.885088103407
67,4667.77963697413,-1157.185491029705
68,4534.2402039796825,-1112.6521345929687
69,4266.287984842717,-1102.3270070113783
70,4203.197999633049,-1112.4093562536832
71,4013.7355768392526,-1170.3143676871057
72,3850.821134734121,-1263.222303589125
73,3742.270609359317,-1353.0375775733085
74,3549.1229640743722,-1550.8404772509455
75,3337.3393752159586,-1745.693528266962
76,3243.18765364931,-1808.2751016415289
77,3145.883948380903,-1856.1915804462049
78,3024.103923999709,-1898.7312755757628
79,2924.3684497801305,-1922.0086289948224
80,2748.515626384632,-1941.3937909449219
81,2609.1751466181754,-1935.5430902643377
82,2557.5982722766394,-1927.808361234993
83,2366.903046225399,-1866.7155567383386
84,2247.565115936643,-1792.1269624735592
85,2176.129162639541,-1723.403570702385
86,2115.8462128352776,-1641.8501160674236
87,2026.8746311072016,-1474.4074164809554
88,1974.1339431674921,-1368.9350512109654
89,1912.4995465379388,-1247.7814249668002
90,1844.4328710616742,-1115.7362520538577
91,1778.566168604481,-994.8785774633891
92,1705.1868651746954,-878.0904024277313
93,1602.57602315636,-769.0169634048041
94,1462.500826826295,-681.7017907651434
95,1269.9360742393155,-624.2838836183707
96,1120.2269614522052,-612.069893750346
97,960.5486517870431,-629.6151900566678
98,777.5826635615549,-689.1924269233649
